preprocessed_text,sentiment_score
masa foto ktp gagal tidak sesuai nama dan identitas pada saat ktp dan data sudah sesuai eh bahkan susah di bagi rekam video sampai sudah isi paket data isi pulsa telepon call centernya tapi bahkan tidak jadi bahkan signature failed melulu dasar aplikasi perban tergoblbagus,-0.9062
mumudahkan,0.0
kenapa saya mau daftar brimo tidak bisa iya pas rekam vidio error terus ini kenapa sih,-0.4019
selamat malam bapak ibu saya ingin tanya kenapa saldo di brimo saya tiba tiba kosong harap ikan informasi yang jelas bapak ibu terimakasih brimo,0.9001
mudah banget dalam segala hal,0.6124
tolong baik,0.7184
sering eror kalau jelang tengah malam,0.0
kenapa iya gabisa topup shopeepay kiat jam malam,0.0
appreciated the fast transactions,0.6486
gilak memang gagal ros verifikasi wajah di tempat terang pun mas gagal,-0.9325
sudah registrasi ke sistem brimo lewat cs tapi waktu registrasi lewat brimo nya pas take video error terus sudah lebih dari,-0.4019
bagus,0.7184
tanpa ribet,0.0
kenapa iya kbagus sekarang kartu fisik e atm bri simpedes sudah tidak ada lagi tolong dong yang belum kebagiann,0.0
mantuulll,0.0
baguss dan cepat,0.7184
lengkap dan mudah,0.6124
sip,0.0
,0.0
puas,0.6124
tiap kali mau di baharu selalu gagal akibat tidak bisa laku adu masalah lalu aplikasi brimo,-0.8402
bagus,0.7184
kenapa saya tidak terima kode verifikasi email padahal email yang saya masuk sesuai dengan email yang saya guna di apk mail,0.6124
rekening digital tapi sistem konvensional masih suruh ke kantor cabang ,0.0
lebih mudah,0.6124
banget aplikasi,0.0
bagus keep better bagus jo bri i feel everything get easier and easier salam,0.9612
kenapa saya tidak bisa laku bayar qris dengan metode bayar kartu kredit,0.6124
finally tidak pelu nomor tbagusn lagi ,-0.25
baguss,0.0
mantaplh,0.0
biar simpel,0.0
kenapa yah gabisa masuk jawabanya keblbagusir sudah coba dibenerin sesuai sama prosedur suruh lupa pasword lupa username tapi pesa linknya tidak masuk,0.6124
sangat bantu,0.0
cepat dapat cs yang humble dan jelas dengan jelas dan jalan aplikasi cekat trampil cepat dan tepat hebat clara,0.9799
mantap,0.7184
kenapa sulit sekali daftar lewat aplikasi saya uninstall dan install kali kali untuk proses ,-0.4588
mantab,0.7184
sangat bantu sekali aplikasi dan sangat mudah cuma kalau bisa tambahin menu buat cetak koran versi digital dong min yang bisa di download buat evaluasi alur uang pribadi biar bisa lihat dari mana datang uang dan mana tu uang pergi main ma terima kasih,-0.875
bagus,0.7184
cukup guna,0.6124
the best flawless fast smooth,0.8591
grate bri,0.0
mantap kalau lagi waras asal tidak sering error saja,0.5106
nomero unoo,0.0
simpel,0.0
mantap,0.7184
semenjak update ios tidak bisa login face id login biasa lupa pass username tidak daftar sangat rugi sangat kecewa pakai aplikasi mobile banking bank yang kata canggih,-0.9186
mantap mudah di akses fiturnya,0.875
lebih mudah pakai brizzi yang dulu karena bisa cek saldo dan aktivasi saldo brizzi tanpa login sekarang untuk guna fitur sebut waji login lebih dahulu,0.6124
aplikasi macam kntolllll susah banget login tolol,-0.9001
keren,0.7184
bagus,0.7184
mantap,0.7184
mantap,0.7184
mudah tidak ribet bantu sekali kalau misal lupa bawa kartu atm,0.6124
cepat,0.7184
mudah dalam transaksi cashless,0.6124
app payah tidak bisa tambah rek langsung freeze sudah ulang kali kali juga tidak bisa tambah rek arti tidak bisa pakai app tidak manfaat sama sekali,0.7351
wichecka,0.0
maju terus bri,0.7184
baik bank bri,0.7184
bagus,0.7184
e kyc gagal melulu sudah kali kali nyoba tetep gabisa,-0.9001
moga bank sumsel babel bisa maju bri,0.7184
bagus,0.7184
sangat puas layan,0.6124
mantap,0.7184
matep,0.0
memudahkn,0.0
lumayan,0.4588
bagus mantap,0.9001
sangat bantu,0.0
sangat bantu,0.0
belum transaksi tiba tiba limit,0.0
saya sudah tulis terdafatar di brimo tapi pas daftar bahkan tidak bisa,0.0
waktu registrasi bagi rekam video selalu dapat response error signature invalid padahal sudah ikut semua tunjuk,-0.4019
lumayan,0.4588
untuk verifikasi selalu gagal kenapa mesti gagal sih kata mudah nasabah sedia vitur e kyc bahkan di tolak terus mana unistal instal terus lagi buat bisa login payah,-0.9432
akses gampang,0.0
cepat mudah dan praktis,0.875
mantaf,0.0
baik terus,0.7184
the best apk,0.6369
sangat praktis,0.0
mudah di guna ,0.6124
joss,0.0
bagus bantu,0.7184
sangat bantu dalam transaksi,0.0
nyataaa,0.0
qwjah,0.0
tolong tingkat,0.0
top,0.7184
mantap,0.7184
dapat notifikasi bisa guna qr di brimo dan sekali bisa lihat cc bri di brimo pas cek di app tidak bisa info belum sedia,0.0
bagus,0.7184
,0.0
aplikasi tidak sedia menu adu untuk transaksi yang inisiasi oleh bank misal potong kali yang laku oleh bank hanya ada adu transaksi yang inisiasi oleh guna,0.4588
bebas admin sama bri,0.0
tidak bisa aktif bripoin,0.0
mantap,0.7184
mudah agar tidak bulak balik ke bank,0.6124
baik,0.7184
aplikasi untuk bayar banyak biar mau bayar listrik dan lain cuma lewat brimo,-0.4588
bagus dan simple bank app,0.7184
eror terus tolong tingkat lagi iya masa mau trf dan cek saldo doang harus ke atm,-0.4588
easy to do,0.4404
bagus ui and function,0.7184
bayar ceria di baik masih ngebugs tidak bisa bayar,0.9001
tolong hilang suara brimo ketika selesai transaksi,-0.6124
aplikasi yang sangat bantu butuh,0.0
aplikasi bagus tapi mohon di cek pegawai cs nya ada beberapa kurang ramah dan kerja lambat,0.7184
layan lebih enak dan gampang mudah di akses mana saja,0.6124
tenks,0.0
sangat bantu jika malas keluar,-0.875
bestttttt,0.0
mantap,0.7184
mudah semua transaksi,0.6124
bagus dan sangat mudah sekali,0.875
aplikasi nya kadang suka aneh kita harus laku dua kali proses karena proses yang pertama pasti selalu gagal,0.0
mantap,0.7184
yang baru bikin nyaman dan tarik,0.7184
sampai saat ini brimo keren,0.7184
kembang bri mobile makin baik dan inovatif,0.7184
,0.0
sangat mudah dan cepat,0.875
sangat kecewa fitur lupa pasword tidak bisa di guna kasi kami yang jarak jauh dari kota harus ke kota lagi buat buka blbagusir akun,-0.7906
bagus apps,0.7184
kemarin dapat error the data couldn t be read because it isn t in the correct format sekarang dapat error signature not valid pada saat proses rekam untuk verifikasi diri,-0.8541
mantappp sejahtera dan aman sentosa pakai brimo,0.7184
mantap,0.7184
sudah update tapi bayar qris guna kartu kredit masih belum juga bisa tah kenapa padahal bank besar,0.6124
apk goblbagus sistem sampah daftar coba tetap gabisa ajg duit banyak cuma buat apk kaya sampah gin jangan cuma pgn untung saja,-0.9186
pmbyrn jadi mudah,0.6124
semua jadi mudah pakai bri mau,0.6124
kenapa ribet banget di proses rekam video coba diskusi dengan privyid buat upgrade ai verifikasi via rekam video,0.0
mantap,0.7184
tidak punya uang,0.0
simpel dan mudah utama yang sering gilang kartu atm ,0.6124
easy to use,0.4404
bagus,0.7184
sangat bantu dalam transaksi,0.0
error pas ambil video asa bumn budget gede buat bikin aplikasi masa kalah sama pinjol malu bosss,-0.9136
layan cepat dan mantap,0.9001
mudah dalam transaksi,0.6124
top,0.7184
transaksi lebih cepat,0.7184
gatau ngerasa design yang lama lebih simpe dan minimal saja,-0.4588
bagus,0.7184
tidak ribet cocbagus buat generasi mager,0.0
saya mau bayar via briva di brimo tapi selalu gagal proses dengan notif error ios dan koneksi internet baik,-0.5719
bisa trasfer dengan biaya yang murah,0.0
